ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
20,2022,1,0,401.84520547947454,0,0,0,0
20,2022,2,0,6134.58219178119,0,0,0,0
20,2022,3,1,10104.756849314079,9.896329173599867e-5,9.896329173599867e-5,1.3939813003081457e-5,7.025727754783668e-4
20,2022,4,0,0,0,0,0,0
20,2022,5,0,0,0,0,0,0
20,2022,6,0,0,0,0,0,0
20,2022,7,0,0,0,0,0,0
20,2022.25,0,13,30667.825342465745,4.238970274165119e-4,1.1756788214361523e-4,2.4613603565803343e-4,7.300381245361559e-4
20,2022.25,1,0,162.83424657534442,0,0,0,0
20,2022.25,2,1,745.5890410959059,0.0013412214301462204,0.0013412214301462204,1.889223327558623e-4,0.00952176959940515
20,2022.25,3,17,39484.78698630231,4.305455669774154e-4,1.044226381934898e-4,2.67650851929501e-4,6.925794702597485e-4
20,2022.25,4,0,4.9164383561637806,0,0,0,0
20,2022.25,5,0,0,0,0,0,0
20,2022.25,6,0,0,0,0,0,0
20,2022.25,7,0,0,0,0,0,0
20,2022.5,0,10,30112.36232876711,3.320895215997964e-4,1.0501592753310406e-4,1.786802962633371e-4,6.172110336880527e-4
20,2022.5,1,0,75.99041095890834,0,0,0,0
20,2022.5,2,0,266.78972602738895,0,0,0,0
20,2022.5,3,4,10826.243150684402,3.6947258105385637e-4,1.8473629052692819e-4,1.386671603907856e-4,9.844435248107207e-4
20,2022.5,4,0,2932.8410958901895,0,0,0,0
20,2022.5,5,0,0,0,0,0,0
20,2022.5,6,0,0,0,0,0,0
20,2022.5,7,0,0,0,0,0,0
20,2022.75,0,22,29685.189726027398,7.411103046011806e-4,1.5800524783949634e-4,4.879808041257464e-4,0.0011255452651873614
20,2022.75,1,0,40.58219178082754,0,0,0,0
20,2022.75,2,0,150.05547945205058,0,0,0,0
20,2022.75,3,1,3568.728082191814,2.802118785653817e-4,2.802118785653817e-4,3.947020273803932e-5,0.001989315773477598
20,2022.75,4,5,10835.05616438389,4.614650744899312e-4,2.0637345516029805e-4,1.9207150520806637e-4,0.0011087017553348905
20,2022.75,5,0,751.1671232877393,0,0,0,0
20,2022.75,6,0,0,0,0,0,0
20,2022.75,7,0,0,0,0,0,0
20,2023,0,25,29331.64041095891,8.523219175515149e-4,1.7046438351030297e-4,5.759174261083679e-4,0.001261383348039199
20,2023,1,0,19.41438356164167,0,0,0,0
20,2023,2,1,78.8595890410902,0.012680766057238071,0.012680766057238071,0.0017861926828917412,0.09002490567706983
20,2023,3,0,1978.389041095901,0,0,0,0
20,2023,4,3,10667.632876712349,2.8122452606604587e-4,1.623650558269565e-4,9.069904681117297e-5,8.719742581829375e-4
20,2023,5,4,3207.1636986301555,0.0012472079307047784,6.236039653523892e-4,4.680909789689904e-4,0.0033231309559502206
20,2023,6,0,0,0,0,0,0
20,2023,7,0,0,0,0,0,0
20,2023.25,0,11,29225.191095890412,3.7638761587248604e-4,1.1348513614413208e-4,2.0844125903325954e-4,6.796525699337162e-4
20,2023.25,1,0,5.673287671234675,0,0,0,0
20,2023.25,2,0,36.18013698629784,0,0,0,0
